Datum;von;bis;Einheit;Deutschland pos;Deutschland neg;50Hertz pos;50Hertz neg;Amprion pos;Amprion neg;TenneT TSO pos;TenneT TSO neg;TransnetBW pos;TransnetBW neg;Molabweichung
2025-05-01;20:30;20:45;MW;47.458;12.101;2.133;0.430;0.007;1.139;18.738;6.989;26.580;3.543;0
2025-05-01;20:45;21:00;MW;171.746;10.231;2.358;0.968;0.010;2.375;19.722;6.021;149.656;0.867;0
2025-05-01;21:00;21:15;MW;65.000;8.723;2.172;0.317;0.629;1.804;15.781;5.964;46.418;0.638;0
2025-05-01;21:15;21:30;MW;13.096;9.256;2.242;2.187;0.504;2.196;8.494;4.797;1.856;0.076;0
2025-05-01;21:30;21:45;MW;2.775;12.659;0.029;5.954;0.045;0.863;0.858;4.608;1.843;1.234;0
2025-05-01;21:45;22:00;MW;10.147;8.468;1.005;0.879;0.105;1.862;6.470;5.539;2.567;0.188;0
2025-05-01;22:00;22:15;MW;6.755;9.774;0.357;1.045;0.351;2.565;3.592;4.489;2.455;1.675;0
2025-05-01;22:15;22:30;MW;4.373;14.385;0.009;5.243;0.062;0.887;1.025;7.184;3.277;1.071;0
2025-05-01;22:30;22:45;MW;5.764;11.035;0.397;3.297;0.314;1.501;0.872;5.766;4.181;0.471;0
2025-05-01;22:45;23:00;MW;2.431;15.350;0.057;3.055;0.182;2.497;1.135;6.286;1.057;3.512;0
2025-05-01;23:00;23:15;MW;2.740;10.279;0.001;1.530;0.051;1.604;0.865;5.301;1.823;1.844;0
2025-05-01;23:15;23:30;MW;3.401;13.962;0.001;6.721;0.472;2.258;1.223;4.326;1.705;0.657;0
2025-05-01;23:30;23:45;MW;6.739;5.697;1.159;0.639;0.465;0.528;1.195;4.530;3.920;0.000;0
2025-05-01;23:45;00:00;MW;10.427;8.030;1.535;0.428;0.239;0.820;4.218;4.862;4.435;1.920;0
